product_id,name,category,gender,price,color,size,material,waterproof,description
OC001,Alpine Explorer Jacket,Jackets,Men,249.99,Blue,M,Gore-Tex,Yes,"Designed for serious mountaineers, this jacket offers maximum protection against harsh weather conditions."
OC002,Wilderness Trail Pants,Pants,Women,89.99,Khaki,S,Nylon,No,"Lightweight and breathable pants perfect for hiking and trekking in warm weather."
OC003,Summit Seeker Backpack,Backpacks,Unisex,129.99,Black,One Size,Polyester,Yes,"A 40L capacity backpack with multiple compartments and a hydration system compatible design."
OC004,Alpine Thermal Fleece,Fleece,Men,79.99,Gray,L,Fleece,No,"A warm mid-layer fleece jacket that provides excellent insulation without restricting movement."
OC005,Cascade Rain Shell,Jackets,Women,179.99,Red,M,Ripstop Nylon,Yes,"Ultra-lightweight and packable rain shell that provides complete protection from downpours."
OC006,Trekker Hiking Boots,Footwear,Men,159.99,Brown,10,Leather,Yes,"Waterproof hiking boots with excellent ankle support and grip for challenging terrain."
OC007,Mountain Vista Sunglasses,Accessories,Unisex,129.99,Black,One Size,Polycarbonate,No,"Polarized sunglasses designed to reduce glare and provide 100% UV protection at high altitudes."
OC008,Everest Down Parka,Jackets,Women,299.99,Navy,L,Down Insulation,Yes,"Expedition-grade down parka for extreme cold weather conditions."
OC009,TrailMaster Hiking Socks,Socks,Unisex,19.99,Green,M,Merino Wool,No,"Moisture-wicking hiking socks with extra cushioning in high-impact areas."
OC010,Summit Ridge Tent,Camping,Unisex,349.99,Orange,2-Person,Ripstop Nylon,Yes,"Lightweight backpacking tent that sets up quickly and withstands strong winds."
OC011,Alpine Light Shell Jacket,Jackets,Men,199.99,Green,XL,Nylon,Yes,"A versatile shell jacket that offers protection from wind and light rain while remaining breathable."
OC012,Mountain Trail Convertible Pants,Pants,Women,94.99,Tan,M,Nylon/Spandex,No,"Versatile pants that convert to shorts, perfect for changing weather conditions on the trail."
OC013,Ridgeline Daypack,Backpacks,Unisex,89.99,Red,One Size,Recycled Polyester,Yes,"A compact 22L daypack with hydration compatibility and multiple organization pockets."
OC014,Thermal Base Layer Top,Base Layers,Men,49.99,Black,M,Merino Wool,No,"A moisture-wicking base layer that regulates body temperature in cold conditions."
OC015,Alpine Insulated Gloves,Accessories,Women,59.99,Purple,S,Synthetic Insulation,Yes,"Waterproof and warm gloves with touchscreen compatibility and reinforced palms."
OC016,Trailhead Approach Shoes,Footwear,Men,129.99,Gray,9,Synthetic/Mesh,No,"Lightweight approach shoes with sticky rubber soles for technical terrain."
OC017,Mountain Sun Hat,Accessories,Unisex,34.99,Khaki,One Size,Nylon,No,"A wide-brimmed sun hat with UPF 50+ protection and a moisture-wicking sweatband."
OC018,Altitude Down Vest,Vests,Women,119.99,Blue,M,800-Fill Down,No,"A lightweight insulated vest that provides core warmth without restricting arm movement."
OC019,Trekker Hiking Poles,Accessories,Unisex,79.99,Black,Adjustable,Aluminum,No,"Collapsible trekking poles with cork grips and carbide tips for stability on varied terrain."
OC020,Wilderness Sleeping Bag,Camping,Unisex,199.99,Navy,Regular,Down,No,"A 20°F rated down sleeping bag that compresses small for backpacking."
OC021,Summit Softshell Jacket,Jackets,Men,159.99,Charcoal,L,Softshell,No,"A stretchy, breathable softshell jacket ideal for active pursuits in mild to cool conditions."
OC022,Alpine Trek Shorts,Shorts,Women,59.99,Olive,S,Nylon,No,"Quick-drying shorts with UPF protection and multiple pockets for hiking and climbing."
OC023,Wilderness Hydration Pack,Backpacks,Unisex,99.99,Blue,One Size,Polyester,Yes,"A 2.5L hydration pack with additional storage for essentials on day hikes or trail runs."
OC024,Mountain Thermal Leggings,Base Layers,Men,59.99,Black,M,Synthetic Blend,No,"Insulating base layer leggings that wick moisture and retain heat in cold conditions."
OC025,Ridgeline Rain Pants,Pants,Women,129.99,Black,M,Gore-Tex,Yes,"Fully waterproof and breathable rain pants with full-length side zippers for easy on/off."
OC026,Alpine Approach Boots,Footwear,Men,189.99,Gray,10,Suede/Synthetic,Yes,"Waterproof mid-cut boots designed for approaches to climbing areas and light hiking."
